Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 20994,Claim 50136,Low,Low
Truck 37638,Claim 50137,Low,Low
Truck 40931,Claim 50138,Low,Very Low
Truck 31572,Claim 50139,Low,Very Low
Truck 28127,Claim 50140,Low,Low
Truck 904,Claim 50141,Low,Low
Truck 41351,Claim 50142,Low,Low
Truck 38869,Claim 50143,Low,Low
Truck 13810,Claim 50144,Low,Low
Truck 35609,Claim 50145,Low,Very Low
Truck 21558,Claim 50146,Low,Low
Truck 13818,Claim 50147,Low,Low
Truck 11713,Claim 50148,Low,Very Low
Truck 14555,Claim 50149,Low,Very Low
Truck 8357,Claim 50150,Low,Very Low
Truck 20258,Claim 50151,Low,Very Low
Truck 22471,Claim 50152,Low,Low
Truck 26881,Claim 50153,Low,Low
Truck 35904,Claim 50154,Low,Low
Truck 19092,Claim 50155,Low,Low
Truck 2905,Claim 50156,Low,Low
Truck 38961,Claim 50157,Low,Low
Truck 19278,Claim 50158,Low,Low
Truck 2851,Claim 50159,Low,Low
Truck 20201,Claim 50160,Low,Very Low
Truck 11327,Claim 50161,Low,Low
Truck 18855,Claim 50162,Low,Low
Truck 32462,Claim 50163,Low,Low
Truck 42999,Claim 50164,Low,Very Low
Truck 12750,Claim 50165,Low,Very Low
Truck 8729,Claim 50166,Very Low,Very Low
Truck 38668,Claim 50167,Very Low,Very Low
Truck 7912,Claim 50168,Low,Very Low
Truck 7579,Claim 50169,Low,Very Low
Truck 5298,Claim 50170,Low,Low
Truck 17589,Claim 50171,Low,Low
Truck 35926,Claim 50172,Low,Low
Truck 21906,Claim 50173,Low,Low
Truck 24515,Claim 50174,Low,Very Low
Truck 10426,Claim 50175,Low,Low
Truck 13180,Claim 50176,Very Low,Very Low
Truck 24281,Claim 50177,Low,Very Low
Truck 6264,Claim 50178,Low,Very Low
Truck 7138,Claim 50179,Low,Very Low
Truck 46514,Claim 50180,Low,Very Low
Truck 23270,Claim 50181,Low,Very Low
Truck 47466,Claim 50182,Low,Low
Truck 35009,Claim 50183,Low,Very Low
Truck 29365,Claim 50184,Low,Low
Truck 39602,Claim 50185,Low,Low
Truck 17067,Claim 50186,Low,Low
Truck 31851,Claim 50187,Low,Low
Truck 20490,Claim 50188,Low,Low
Truck 21070,Claim 50189,Low,Low
Truck 1623,Claim 50190,Low,Low
Truck 18900,Claim 50191,Very Low,Very Low
Truck 14758,Claim 50192,Low,Low
Truck 17161,Claim 50193,Low,Low
Truck 16933,Claim 50194,Low,Low
Truck 30030,Claim 50195,Low,Low
Truck 41168,Claim 50196,Low,Low
Truck 38431,Claim 50197,Low,Low
Truck 11189,Claim 50198,Low,Low
Truck 45012,Claim 50199,Low,Low
Truck 22007,Claim 50200,Low,Low
Truck 12930,Claim 50201,Low,Low
Truck 37096,Claim 50202,Low,Low
Truck 31164,Claim 50203,Low,Low
Truck 45671,Claim 50204,Low,Low
Truck 38844,Claim 50205,Low,Low
Truck 32133,Claim 50206,Low,Low
Truck 42670,Claim 50207,Low,Low
Truck 32099,Claim 50208,Low,Low
Truck 42770,Claim 50209,Low,Low
Truck 31906,Claim 50210,Low,Very Low
Truck 14586,Claim 50211,Low,Low
Truck 31425,Claim 50212,Low,Low
Truck 37487,Claim 50213,Low,Low
Truck 41762,Claim 50214,Low,Low
Truck 15522,Claim 50215,Low,Low
Truck 11075,Claim 50216,Low,Low
Truck 31831,Claim 50217,Low,Low
Truck 35814,Claim 50218,Low,Low
Truck 43945,Claim 50219,Low,Low
Truck 36080,Claim 50220,Low,Low
Truck 42669,Claim 50221,Low,Low
Truck 41708,Claim 50222,Low,Low
Truck 41669,Claim 50223,Low,Low
Truck 44387,Claim 50224,Low,Low
Truck 30047,Claim 50225,Low,Low
Truck 35809,Claim 50226,Low,Low
Truck 36339,Claim 50227,Low,Low
Truck 14548,Claim 50228,Low,Low
Truck 10290,Claim 50229,Low,Low
Truck 37261,Claim 50230,Low,Low
Truck 16004,Claim 50231,Low,Low
Truck 41573,Claim 50232,Low,Low
Truck 35454,Claim 50233,Low,Low
Truck 38713,Claim 50234,Low,Low
Truck 11301,Claim 50235,Low,Low
Truck 32314,Claim 50236,Low,Low
Truck 12414,Claim 50237,Low,Low
Truck 31880,Claim 50238,Low,Low
Truck 31125,Claim 50239,Low,Low
Truck 44046,Claim 50240,Low,Low
Truck 13172,Claim 50241,Low,Low
Truck 27345,Claim 50242,Low,Low
Truck 43918,Claim 50243,Low,Low
Truck 11304,Claim 50244,Low,Low
Truck 11171,Claim 50245,Low,Low
Truck 17195,Claim 50246,Low,Low
Truck 32310,Claim 50247,Low,Low
Truck 43984,Claim 50248,Low,Low
Truck 33197,Claim 50249,Low,Low
Truck 23150,Claim 50250,Low,Low
Truck 43942,Claim 50251,Low,Low
Truck 31165,Claim 50252,Low,Low
Truck 14756,Claim 50253,Low,Low
Truck 24222,Claim 50254,Low,Low
Truck 35937,Claim 50255,Low,Low
Truck 16980,Claim 50256,Low,Low
Truck 17397,Claim 50257,Low,Low
Truck 14115,Claim 50258,Low,Low
Truck 38838,Claim 50259,Low,Low
Truck 36064,Claim 50260,Low,Low
Truck 41597,Claim 50261,Low,Low
Truck 35434,Claim 50262,Low,Low
Truck 38072,Claim 50263,Low,Low
Truck 32358,Claim 50264,Low,Low
Truck 41350,Claim 50265,Low,Low
Truck 43109,Claim 50266,Low,Low
Truck 10543,Claim 50267,Low,Low
Truck 25759,Claim 50268,Low,Low
Truck 26151,Claim 50269,Low,Low
Truck 26411,Claim 50270,Low,Very Low
Truck 47231,Claim 50271,Low,Low
Truck 4514,Claim 50272,Low,Low
Truck 7818,Claim 50273,Low,Low
Truck 34795,Claim 50274,Low,Low
Truck 32765,Claim 50275,Low,Low
Truck 38614,Claim 50276,Low,Low
Truck 42457,Claim 50277,Low,Low
Truck 14069,Claim 50278,Low,Very Low
Truck 13960,Claim 50279,Low,Very Low
Truck 41281,Claim 50280,Low,Low
Truck 24261,Claim 50281,Low,Low
Truck 7251,Claim 50282,Low,Low
Truck 11551,Claim 50283,Low,Very Low
Truck 24251,Claim 50284,Low,Low
Truck 15394,Claim 50285,Low,Low
Truck 9186,Claim 50286,Low,Very Low
Truck 29740,Claim 50287,Low,Low
Truck 13863,Claim 50288,Low,Low
Truck 13956,Claim 50289,Low,Very Low
Truck 38617,Claim 50290,Very Low,Very Low
Truck 1226,Claim 50291,Low,Low
Truck 8738,Claim 50292,Low,Low
Truck 36812,Claim 50293,Low,Low
Truck 45562,Claim 50294,Low,Very Low
Truck 43771,Claim 50295,Low,Low
Truck 26931,Claim 50296,Low,Low
Truck 2948,Claim 50297,Low,Low
Truck 23719,Claim 50298,Low,Very Low
Truck 39990,Claim 50299,Low,Very Low
Truck 9709,Claim 50300,Low,Low
Truck 9710,Claim 50301,Low,Low
Truck 9712,Claim 50302,Low,Low
Truck 9708,Claim 50303,Low,Low
Truck 9705,Claim 50304,Low,Low
Truck 26974,Claim 50305,Low,Low
Truck 40517,Claim 50306,Low,Low
Truck 21127,Claim 50307,Very Low,Very Low
Truck 32815,Claim 50308,Low,Very Low
Truck 31411,Claim 50309,Low,Low
Truck 41334,Claim 50310,Low,Low
Truck 32908,Claim 50311,Low,Very Low
Truck 5910,Claim 50312,Low,Low
Truck 37733,Claim 50313,Low,Very Low
Truck 38867,Claim 50314,Low,Low
Truck 38858,Claim 50315,Low,Low
Truck 9440,Claim 50316,Low,Low
Truck 8234,Claim 50317,Low,Low
Truck 23867,Claim 50318,Low,Low
Truck 22351,Claim 50319,Low,Low
Truck 37274,Claim 50320,Low,Low
Truck 37266,Claim 50321,Low,Low
Truck 39625,Claim 50322,Low,Low
Truck 24300,Claim 50323,Low,Low
Truck 47167,Claim 50324,Low,Low
Truck 21107,Claim 50325,Very Low,Very Low
Truck 2522,Claim 50326,Low,Low
Truck 47325,Claim 50327,Low,Low
Truck 6503,Claim 50328,Low,Very Low
Truck 25240,Claim 50329,Low,Very Low
Truck 32111,Claim 50330,Low,Low
Truck 23144,Claim 50331,Low,Low
Truck 25106,Claim 50332,Low,Low
Truck 42008,Claim 50333,Low,Low
Truck 9327,Claim 50334,Low,Low
Truck 14090,Claim 50335,Low,Low
Truck 33608,Claim 50336,Low,Low
Truck 9707,Claim 50337,Low,Low
Truck 9735,Claim 50338,Low,Low
Truck 9747,Claim 50339,Low,Low
Truck 9738,Claim 50340,Low,Low
Truck 9746,Claim 50341,Low,Low
Truck 9749,Claim 50342,Low,Low
Truck 11531,Claim 50343,Low,Low
Truck 13814,Claim 50344,Low,Low
Truck 15600,Claim 50345,Low,Low
Truck 7214,Claim 50346,Low,Low
Truck 25418,Claim 50347,Low,Low
Truck 45942,Claim 50348,Low,Low
Truck 4870,Claim 50349,Low,Very Low
Truck 27158,Claim 50350,Low,Very Low
Truck 6695,Claim 50351,Low,Very Low
Truck 19734,Claim 50352,Low,Low
Truck 4230,Claim 50353,Low,Low
Truck 2112,Claim 50354,Low,Very Low
Truck 33019,Claim 50355,Low,Low
Truck 19966,Claim 50356,Low,Low
Truck 35485,Claim 50357,Low,Low
Truck 12900,Claim 50358,Low,Low
Truck 30439,Claim 50359,Low,Very Low
Truck 42947,Claim 50360,Low,Low
Truck 19270,Claim 50361,Low,Very Low
Truck 27712,Claim 50362,Low,Very Low
Truck 2885,Claim 50363,Low,Low
Truck 16895,Claim 50364,Low,Low
Truck 14696,Claim 50365,Low,Low
Truck 9720,Claim 50366,Low,Low
Truck 16768,Claim 50367,Low,Very Low
Truck 6428,Claim 50368,Low,Low
Truck 31411,Claim 50369,Low,Low
Truck 10362,Claim 50370,Low,Low
Truck 3041,Claim 50371,Very Low,Very Low
Truck 45832,Claim 50372,Very Low,Very Low
Truck 45832,Claim 50373,Very Low,Very Low
Truck 45832,Claim 50374,Very Low,Very Low
Truck 45832,Claim 50375,Very Low,Very Low
Truck 45832,Claim 50376,Very Low,Very Low
Truck 3948,Claim 50377,Very Low,Very Low
Truck 7160,Claim 50378,Very Low,Very Low
Truck 7204,Claim 50379,Very Low,Very Low
Truck 3940,Claim 50380,Very Low,Very Low
Truck 19646,Claim 50381,Very Low,Very Low
Truck 13770,Claim 50382,Very Low,Very Low
Truck 36467,Claim 50383,Very Low,Very Low
Truck 29599,Claim 50384,Very Low,Very Low
Truck 47990,Claim 50385,Very Low,Very Low
Truck 47990,Claim 50386,Very Low,Very Low
Truck 47990,Claim 50387,Very Low,Very Low
Truck 47990,Claim 50388,Very Low,Very Low
Truck 12488,Claim 50389,Low,Low
Truck 38400,Claim 50390,Low,Low
Truck 34241,Claim 50391,Very Low,Very Low
Truck 20991,Claim 50392,Low,Very Low
Truck 20872,Claim 50393,Low,Low
Truck 35377,Claim 50394,Low,Low
Truck 34416,Claim 50395,Very Low,Very Low
Truck 37514,Claim 50396,Low,Very Low
Truck 45436,Claim 50397,Low,Very Low
Truck 45436,Claim 50398,Low,Very Low
Truck 35487,Claim 50399,Low,Very Low
Truck 34125,Claim 50400,Low,Low
Truck 21314,Claim 50401,Low,Low
Truck 30045,Claim 50402,Low,Low
Truck 25098,Claim 50403,Low,Low
Truck 19742,Claim 50404,Low,Low
Truck 32860,Claim 50405,Low,Very Low
Truck 10081,Claim 50406,Low,Low
Truck 10060,Claim 50407,Low,Low
Truck 45011,Claim 50408,Low,Low
Truck 43001,Claim 50409,Low,Low
Truck 647,Claim 50410,Low,Low
Truck 26212,Claim 50411,Low,Low
Truck 33496,Claim 50412,Very Low,Very Low
Truck 20206,Claim 50413,Low,Very Low
Truck 42856,Claim 50414,Low,Very Low
Truck 40722,Claim 50415,Low,Low
Truck 18530,Claim 50416,Low,Low
Truck 4745,Claim 50417,Low,Low
Truck 20816,Claim 50418,Low,Very Low
Truck 24077,Claim 50419,Low,Low
Truck 12149,Claim 50420,Low,Low
Truck 9105,Claim 50421,Low,Low
Truck 372,Claim 50422,Low,Low
Truck 15760,Claim 50423,Low,Low
Truck 41240,Claim 50424,Low,Low
Truck 26829,Claim 50425,Low,Low
Truck 365,Claim 50426,Low,Low
Truck 4885,Claim 50427,Low,Low
Truck 21716,Claim 50428,Low,Low
Truck 28454,Claim 50429,Low,Low
Truck 22364,Claim 50430,Low,Low
Truck 20241,Claim 50431,Low,Low
Truck 33410,Claim 50432,Low,Low
Truck 4293,Claim 50433,Low,Low
Truck 17720,Claim 50434,Low,Low
Truck 9101,Claim 50435,Low,Low
Truck 10087,Claim 50436,Low,Low
Truck 17352,Claim 50437,Low,Low
Truck 30607,Claim 50438,Low,Low
Truck 29686,Claim 50439,Low,Very Low
Truck 786,Claim 50440,Low,Low
Truck 246,Claim 50441,Low,Low
Truck 798,Claim 50442,Low,Low
Truck 224,Claim 50443,Low,Low
Truck 134,Claim 50444,Low,Low
Truck 152,Claim 50445,Low,Low
Truck 130,Claim 50446,Low,Low
Truck 234,Claim 50447,Low,Low
Truck 6407,Claim 50448,Very Low,Very Low
Truck 4202,Claim 50449,Low,Low
Truck 35021,Claim 50450,Low,Low
Truck 14463,Claim 50451,Low,Low
Truck 3563,Claim 50452,Low,Low
Truck 46020,Claim 50453,Low,Low
Truck 30688,Claim 50454,Low,Low
Truck 1592,Claim 50455,Very Low,Very Low
Truck 39776,Claim 50456,Low,Low
Truck 34722,Claim 50457,Low,Low
Truck 38413,Claim 50458,Low,Low
Truck 6556,Claim 50459,Low,Low
Truck 18562,Claim 50460,Low,Low
Truck 21088,Claim 50461,Low,Low
Truck 8738,Claim 50462,Low,Low
Truck 10893,Claim 50463,Low,Low
Truck 24752,Claim 50464,Low,Low
Truck 15943,Claim 50465,Low,Low
Truck 12725,Claim 50466,Low,Low
Truck 15572,Claim 50467,Low,Very Low
Truck 15917,Claim 50468,Low,Low
Truck 16295,Claim 50469,Low,Low
Truck 2216,Claim 50470,Low,Low
Truck 2637,Claim 50471,Low,Low
Truck 2640,Claim 50472,Low,Low
Truck 2663,Claim 50473,Low,Low
Truck 2660,Claim 50474,Low,Low
Truck 2638,Claim 50475,Low,Low
Truck 41271,Claim 50476,Low,Low
Truck 14946,Claim 50477,Low,Low
Truck 44665,Claim 50478,Low,Very Low
Truck 44665,Claim 50479,Low,Very Low
Truck 32767,Claim 50480,Very Low,Very Low
Truck 19060,Claim 50481,Low,Very Low
Truck 25080,Claim 50482,Low,Low
Truck 13954,Claim 50483,Low,Low
Truck 32092,Claim 50484,Low,Low
Truck 40658,Claim 50485,Low,Low
Truck 7135,Claim 50486,Low,Very Low
Truck 9168,Claim 50487,Low,Low
Truck 12779,Claim 50488,Low,Low
Truck 37757,Claim 50489,Low,Low
Truck 44472,Claim 50490,Low,Low
Truck 41918,Claim 50491,Low,Low
Truck 45495,Claim 50492,Low,Very Low
Truck 7080,Claim 50493,Low,Low
Truck 42541,Claim 50494,Low,Low
Truck 45866,Claim 50495,Low,Very Low
Truck 22803,Claim 50496,Low,Low
Truck 45174,Claim 50497,Low,Low
Truck 21075,Claim 50498,Very Low,Very Low
Truck 30061,Claim 50499,Low,Very Low
Truck 42986,Claim 50500,Low,Very Low
Truck 30118,Claim 50501,Low,Very Low
Truck 2958,Claim 50502,Low,Low
Truck 2937,Claim 50503,Low,Low
Truck 27190,Claim 50504,Low,Low
Truck 16690,Claim 50505,Low,Low
Truck 44926,Claim 50506,Low,Low
Truck 4460,Claim 50507,Low,Low
Truck 38636,Claim 50508,Low,Low
Truck 25418,Claim 50509,Low,Very Low
Truck 14901,Claim 50510,Low,Very Low
Truck 14717,Claim 50511,Low,Low
Truck 31283,Claim 50512,Low,Very Low
Truck 1612,Claim 50513,Low,Low
Truck 14325,Claim 50514,Low,Low
Truck 20209,Claim 50515,Low,Very Low
Truck 47711,Claim 50516,Low,Low
Truck 20361,Claim 50517,Low,Low
Truck 20251,Claim 50518,Low,Very Low
Truck 33614,Claim 50519,Low,Low
Truck 24660,Claim 50520,Low,Low
Truck 9341,Claim 50521,Low,Low
Truck 38665,Claim 50522,Very Low,Very Low
Truck 19226,Claim 50523,Very Low,Very Low
Truck 26546,Claim 50524,Very Low,Very Low
Truck 19292,Claim 50525,Very Low,Very Low
Truck 19308,Claim 50526,Very Low,Very Low
Truck 19354,Claim 50527,Very Low,Very Low
Truck 19361,Claim 50528,Very Low,Very Low
Truck 26561,Claim 50529,Very Low,Very Low
Truck 19317,Claim 50530,Very Low,Very Low
Truck 38910,Claim 50531,Low,Low
Truck 37987,Claim 50532,Low,Very Low
Truck 28116,Claim 50533,Low,Low
Truck 26206,Claim 50534,Low,Low
Truck 11471,Claim 50535,Low,Low
Truck 42991,Claim 50536,Low,Low
Truck 7999,Claim 50537,Low,Low
Truck 32902,Claim 50538,Low,Low
Truck 11926,Claim 50539,Low,Low
Truck 17300,Claim 50540,Low,Low
Truck 34887,Claim 50541,Low,Low
Truck 33491,Claim 50542,Low,Low
Truck 23558,Claim 50543,Low,Low
Truck 28032,Claim 50544,Low,Low
Truck 31199,Claim 50545,Low,Low
Truck 11462,Claim 50546,Low,Low
Truck 9756,Claim 50547,Low,Low
Truck 36733,Claim 50548,Low,Low
Truck 34814,Claim 50549,Low,Very Low
Truck 25316,Claim 50550,Low,Very Low
Truck 48082,Claim 50551,Low,Very Low
Truck 30964,Claim 50552,Low,Very Low
Truck 26841,Claim 50553,Low,Very Low
Truck 23956,Claim 50554,Low,Very Low
Truck 41909,Claim 50555,Low,Low
Truck 9271,Claim 50556,Low,Low
Truck 26607,Claim 50557,Low,Low
Truck 28862,Claim 50558,Low,Low
Truck 35685,Claim 50559,Low,Low
Truck 17747,Claim 50560,Low,Very Low
Truck 9008,Claim 50561,Low,Very Low
Truck 21144,Claim 50562,Low,Low
Truck 530,Claim 50563,Low,Low
Truck 45798,Claim 50564,Low,Low
Truck 17374,Claim 50565,Low,Low
Truck 24515,Claim 50566,Low,Low
Truck 42132,Claim 50567,Low,Low
Truck 19126,Claim 50568,Low,Low
Truck 45834,Claim 50569,Very Low,Very Low
Truck 7465,Claim 50570,Low,Low
Truck 19255,Claim 50571,Low,Low
Truck 6504,Claim 50572,Low,Low
Truck 266,Claim 50573,Low,Low
Truck 730,Claim 50574,Low,Low
Truck 18925,Claim 50575,Low,Very Low
Truck 42483,Claim 50576,Low,Low
Truck 36032,Claim 50577,Low,Low
Truck 31545,Claim 50578,Low,Low
Truck 21119,Claim 50579,Low,Low
Truck 3645,Claim 50580,Low,Very Low
Truck 23682,Claim 50581,Low,Very Low
Truck 19257,Claim 50582,Low,Low
Truck 26188,Claim 50583,Low,Low
Truck 38784,Claim 50584,Low,Low
Truck 1683,Claim 50585,Low,Very Low
Truck 12227,Claim 50586,Low,Low
Truck 19104,Claim 50587,Low,Very Low
Truck 14690,Claim 50588,Low,Low
Truck 21095,Claim 50589,Very Low,Very Low
Truck 17866,Claim 50590,Low,Very Low
Truck 6297,Claim 50591,Low,Low
Truck 8190,Claim 50592,Low,Low
Truck 33615,Claim 50593,Low,Low
Truck 12687,Claim 50594,Low,Low
Truck 4273,Claim 50595,Low,Very Low
Truck 12029,Claim 50596,Very Low,Very Low
Truck 1845,Claim 50597,Low,Low
Truck 20232,Claim 50598,Low,Low
Truck 45652,Claim 50599,Low,Low
Truck 5624,Claim 50600,Low,Low
Truck 44977,Claim 50601,Low,Low
Truck 6469,Claim 50602,Low,Very Low
Truck 5117,Claim 50603,Low,Low
Truck 7291,Claim 50604,Very Low,Very Low
Truck 35259,Claim 50605,Low,Very Low
Truck 24542,Claim 50606,Low,Low
Truck 4170,Claim 50607,Very Low,Very Low
Truck 43564,Claim 50608,Very Low,Very Low
Truck 3130,Claim 50609,Very Low,Very Low
Truck 27092,Claim 50610,Low,Low
Truck 9940,Claim 50611,Low,Very Low
Truck 17297,Claim 50612,Low,Low
Truck 7032,Claim 50613,Low,Very Low
Truck 14268,Claim 50614,Low,Very Low
Truck 40819,Claim 50615,Low,Low
Truck 28119,Claim 50616,Low,Low
Truck 45325,Claim 50617,Low,Very Low
Truck 19092,Claim 50618,Very Low,Very Low
Truck 13947,Claim 50619,Low,Very Low
Truck 16994,Claim 50620,Low,Low
Truck 39275,Claim 50621,Low,Very Low
Truck 7835,Claim 50622,Low,Low
Truck 1915,Claim 50623,Low,Low
Truck 42170,Claim 50624,Low,Low
Truck 24392,Claim 50625,Low,Low
Truck 10335,Claim 50626,Low,Low
Truck 25070,Claim 50627,Low,Low
Truck 4240,Claim 50628,Low,Low
Truck 9275,Claim 50629,Low,Low
Truck 882,Claim 50630,Low,Low
Truck 21345,Claim 50631,Low,Very Low
Truck 15524,Claim 50632,Low,Low
Truck 39599,Claim 50633,Low,Low
Truck 31982,Claim 50634,Low,Low
Truck 4249,Claim 50635,Low,Low
Truck 19375,Claim 50636,Low,Very Low
Truck 19339,Claim 50637,Low,Very Low
Truck 26544,Claim 50638,Low,Very Low
Truck 19378,Claim 50639,Low,Very Low
Truck 19223,Claim 50640,Low,Very Low
Truck 22476,Claim 50641,Low,Low
Truck 3062,Claim 50642,Low,Very Low
Truck 45797,Claim 50643,Low,Very Low
Truck 17657,Claim 50644,Low,Very Low
Truck 2887,Claim 50645,Low,Low
Truck 8737,Claim 50646,Low,Low
Truck 45862,Claim 50647,Low,Low
Truck 9732,Claim 50648,Low,Very Low
Truck 43746,Claim 50649,Low,Very Low
Truck 3981,Claim 50650,Low,Low
Truck 33594,Claim 50651,Low,Low
Truck 43366,Claim 50652,Low,Low
Truck 35133,Claim 50653,Low,Low
Truck 8828,Claim 50654,Low,Very Low
Truck 9286,Claim 50655,Low,Low
Truck 36738,Claim 50656,Low,Low
Truck 46844,Claim 50657,Low,Low
Truck 41241,Claim 50658,Low,Low
Truck 22504,Claim 50659,Low,Low
Truck 43710,Claim 50660,Low,Low
Truck 11036,Claim 50661,Low,Low
Truck 25341,Claim 50662,Low,Low
Truck 47945,Claim 50663,Low,Low
Truck 274,Claim 50664,Low,Low
Truck 26907,Claim 50665,Low,Low
Truck 9748,Claim 50666,Low,Low
Truck 5952,Claim 50667,Low,Low
Truck 2379,Claim 50668,Low,Low
Truck 16044,Claim 50669,Low,Low
Truck 9733,Claim 50670,Low,Low
Truck 9737,Claim 50671,Low,Low
Truck 9739,Claim 50672,Low,Low
Truck 9742,Claim 50673,Low,Low
Truck 9740,Claim 50674,Low,Low
Truck 9743,Claim 50675,Low,Low
Truck 9745,Claim 50676,Low,Low
Truck 11416,Claim 50677,Low,Low
Truck 33448,Claim 50678,Low,Low
Truck 20238,Claim 50679,Low,Low
Truck 20240,Claim 50680,Low,Low
Truck 20227,Claim 50681,Low,Low
Truck 3397,Claim 50682,Low,Low
Truck 20369,Claim 50683,Low,Low
Truck 12004,Claim 50684,Low,Very Low
Truck 27303,Claim 50685,Low,Very Low
Truck 8386,Claim 50686,Low,Low
Truck 21368,Claim 50687,Low,Low
Truck 34330,Claim 50688,Low,Low
Truck 29254,Claim 50689,Low,Low
Truck 20950,Claim 50690,Low,Low
Truck 45088,Claim 50691,Low,Low
Truck 9702,Claim 50692,Low,Very Low
Truck 47985,Claim 50693,Low,Low
Truck 42046,Claim 50694,Low,Low
Truck 34241,Claim 50695,Low,Low
Truck 5299,Claim 50696,Low,Low
Truck 8575,Claim 50697,Low,Low
Truck 44315,Claim 50698,Low,Low
Truck 12025,Claim 50699,Low,Low
Truck 43426,Claim 50700,Low,Low
Truck 43426,Claim 50701,Low,Low
Truck 33187,Claim 50702,Low,Low
Truck 8386,Claim 50703,Low,Low
Truck 25287,Claim 50704,Low,Low
Truck 3281,Claim 50705,Low,Low
Truck 29086,Claim 50706,Low,Low
Truck 29494,Claim 50707,Low,Low
Truck 6060,Claim 50708,Low,Low
Truck 15549,Claim 50709,Low,Very Low
Truck 38943,Claim 50710,Low,Very Low
Truck 30287,Claim 50711,Low,Low
Truck 16844,Claim 50712,Low,Low
Truck 11490,Claim 50713,Low,Low
Truck 8334,Claim 50714,Low,Low
Truck 29348,Claim 50715,Low,Low
Truck 20212,Claim 50716,Low,Very Low
Truck 7190,Claim 50717,Very Low,Very Low
Truck 1644,Claim 50718,Very Low,Very Low
Truck 44303,Claim 50719,Very Low,Very Low
Truck 10512,Claim 50720,Low,Low
Truck 33899,Claim 50721,Low,Low
Truck 21198,Claim 50722,Low,Low
Truck 10087,Claim 50723,Low,Low
Truck 40723,Claim 50724,Low,Low
Truck 43014,Claim 50725,Low,Low
Truck 25417,Claim 50726,Low,Low
Truck 21412,Claim 50727,Low,Low
Truck 39459,Claim 50728,Low,Very Low
Truck 9282,Claim 50729,Low,Low
Truck 10225,Claim 50730,Low,Low
Truck 9286,Claim 50731,Low,Low
Truck 22712,Claim 50732,Low,Low
Truck 40178,Claim 50733,Low,Very Low
Truck 5453,Claim 50734,Low,Very Low
Truck 41225,Claim 50735,Low,Very Low
Truck 35267,Claim 50736,Low,Very Low
Truck 47094,Claim 50737,Low,Very Low
Truck 9044,Claim 50738,Low,Very Low
Truck 12435,Claim 50739,Low,Low
Truck 7176,Claim 50740,Low,Low
Truck 23184,Claim 50741,Low,Low
Truck 41468,Claim 50742,Low,Low
Truck 38297,Claim 50743,Low,Low
Truck 36702,Claim 50744,Low,Low
Truck 46380,Claim 50745,Low,Low
Truck 41116,Claim 50746,Low,Low
Truck 11669,Claim 50747,Low,Low
Truck 25676,Claim 50748,Low,Low
Truck 12780,Claim 50749,Low,Very Low
Truck 43776,Claim 50750,Low,Low
Truck 16027,Claim 50751,Low,Low
Truck 20840,Claim 50752,Low,Low
Truck 13701,Claim 50753,Low,Low
Truck 38730,Claim 50754,Low,Low
Truck 7160,Claim 50755,Very Low,Very Low
Truck 40007,Claim 50756,Low,Low
Truck 7736,Claim 50757,Low,Low
Truck 12991,Claim 50758,Low,Very Low
Truck 33109,Claim 50759,Low,Low
Truck 17960,Claim 50760,Low,Low
Truck 36765,Claim 50761,Low,Very Low
Truck 32853,Claim 50762,Low,Very Low
Truck 383,Claim 50763,Low,Low
